"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2009-08-02T17:14:09"	"1249233249"	"The Barber of Seville"	""	"Gioacchino Rossini"	""	"The Barber of Seville"	""	"Gioacchino Rossini"	""	"Overtures"	""	"Gioacchino Rossini"	""
"2009-08-02T17:14:18"	"1249233258"	"Dancing in the Dark"	"48c367d8-a695-49f9-9cba-f6efaf414e18"	"Artie Shaw and His Orchestra"	"2a53f414-d289-4af8-85b6-5d292dfe36bd"	"Dancing in the Dark"	"48c367d8-a695-49f9-9cba-f6efaf414e18"	"Artie Shaw and His Orchestra"	"2a53f414-d289-4af8-85b6-5d292dfe36bd"	"In Hollywood 1940-1941  Vol. II"	""	"Artie Shaw and His Orchestra"	"2a53f414-d289-4af8-85b6-5d292dfe36bd"
"2009-08-02T17:14:24"	"1249233264"	"When Lights Are Low"	"0ffcca70-abff-4ed5-b1a8-fae2661daf57"	"Lionel Hampton"	"17cf2413-99c1-441d-ba92-700e811daf56"	"When Lights Are Low"	"0ffcca70-abff-4ed5-b1a8-fae2661daf57"	"Lionel Hampton"	"17cf2413-99c1-441d-ba92-700e811daf56"	"All Star Sessions: Hot Mallets, Vol. 2"	""	"Lionel Hampton"	"17cf2413-99c1-441d-ba92-700e811daf56"
"2009-08-02T17:14:30"	"1249233270"	"C'est à Capri"	"ca84913a-7fb2-438a-a7fa-b7c66f6ea523"	"Tino Rossi"	"0403d4fb-cc81-48ff-9c98-9d995b48d73b"	"C'est à Capri"	"ca84913a-7fb2-438a-a7fa-b7c66f6ea523"	"Tino Rossi"	"0403d4fb-cc81-48ff-9c98-9d995b48d73b"	"Best Of"	""	"Tino Rossi"	"0403d4fb-cc81-48ff-9c98-9d995b48d73b"
"2009-08-02T17:14:33"	"1249233273"	"The Charles C. Leary"	"48b2c24c-0bae-4eaf-ab05-c4b7abc53286"	"Devendra Banhart"	"0110e63e-0a9b-4818-af8e-41e180c20b9a"	"The Charles C. Leary"	"48b2c24c-0bae-4eaf-ab05-c4b7abc53286"	"Devendra Banhart"	"0110e63e-0a9b-4818-af8e-41e180c20b9a"	"Oh Me Oh My... The Way the Day Goes by the Sun Is Setting Dogs Are Dreaming Lovesongs of the Christmas Spirit"	"34ea421e-8ba7-40c7-bd65-f558818d0c8d"	"Devendra Banhart"	"0110e63e-0a9b-4818-af8e-41e180c20b9a"
"2009-08-02T17:14:39"	"1249233279"	"Night And Day"	"18b92766-e3a7-41dc-b122-cf2911b17504"	"Tommy Dorsey"	"b1cfd018-b393-4632-babc-8a343edb4baa"	"Night And Day"	"18b92766-e3a7-41dc-b122-cf2911b17504"	"Tommy Dorsey"	"b1cfd018-b393-4632-babc-8a343edb4baa"	"A Portrait of Tommy Dorsey (disc 1)"	""	"Tommy Dorsey"	"b1cfd018-b393-4632-babc-8a343edb4baa"
"2009-08-02T17:14:45"	"1249233285"	"Sur les quais du vieux Paris"	"cc2ac036-6377-46a4-89ff-d51a447c9953"	"Lucienne Delyle"	"82e0bc9c-2cf4-403d-939c-1d8c00767170"	"Sur les quais du vieux Paris"	"cc2ac036-6377-46a4-89ff-d51a447c9953"	"Lucienne Delyle"	"82e0bc9c-2cf4-403d-939c-1d8c00767170"	"Le Meilleur de Lucienne Delyle"	""	"Lucienne Delyle"	"82e0bc9c-2cf4-403d-939c-1d8c00767170"
"2009-08-02T17:14:53"	"1249233293"	"A Paris dans chaque faubourg"	"50e187c6-e012-48fe-8cc9-6cf8fd44126a"	"Lys Gauty"	"0c8deabe-862a-4026-b0a0-11cad4afc161"	"A Paris dans chaque faubourg"	"50e187c6-e012-48fe-8cc9-6cf8fd44126a"	"Lys Gauty"	"0c8deabe-862a-4026-b0a0-11cad4afc161"	"Les Années Folles"	""	"Tino Rossi"	"0403d4fb-cc81-48ff-9c98-9d995b48d73b"
"2009-08-02T17:14:57"	"1249233297"	"Ah, Weir"	"bd1bb752-f073-4f8b-8ed9-42b0cb81254d"	"Yeasayer"	"3feba7fa-3837-424a-b4f1-0077d217f569"	"Ah, Weir"	"bd1bb752-f073-4f8b-8ed9-42b0cb81254d"	"Yeasayer"	"3feba7fa-3837-424a-b4f1-0077d217f569"	"All Hour Cymbals"	"55318661-9673-4bab-91cf-421c84b8701f"	"Yeasayer"	"3feba7fa-3837-424a-b4f1-0077d217f569"
"2009-08-02T17:15:03"	"1249233303"	"Ma liberté"	"28833037-db74-4f9f-9316-1382b7d83267"	"Georges Moustaki"	"6e6dc19f-cfa9-45e8-aaad-ab1d92c60a80"	"Ma liberté"	"28833037-db74-4f9f-9316-1382b7d83267"	"Georges Moustaki"	"6e6dc19f-cfa9-45e8-aaad-ab1d92c60a80"	"Un métèque en liberté (disc 2)"	""	"Georges Moustaki"	"6e6dc19f-cfa9-45e8-aaad-ab1d92c60a80"
